         152754 function calls (142365 primitive calls) in 0.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\errors.py:725(new_error_context)
      161    0.000    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typing\templates.py:343(apply)
      550    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typing\templates.py:1178(new_registrations)
      344    0.000    0.000    0.002    0.000 {built-in method builtins.any}
      147    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\models.py:695(getter)
      870    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      131    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:414(__init__)
       36    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\ntpath.py:472(normpath)
   102/99    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\abstract.py:60(__call__)
      467    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\manager.py:33(__getitem__)
     1226    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:229(_get_name)
      226    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       78    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:418(wrap_constant_value)
      110    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\analysis.py:66(fix_point_progress)
      148    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:716(_to_list)
      108    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typing\templates.py:669(_get_impl)
       15    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:570(_find_back_edges)
  159/157    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:127(__eq__)
       90    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\_collections_abc.py:742(__iter__)
        3    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:503(_find_dominators_internal)
      269    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:70(wrap_constant_value)
      663    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\containers.py:243(key)
      258    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:527(__init__)
  279/202    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\misc.py:47(unliteral)
